id,batsman,wicket_by,stats,batting_team,bowling_team,date,venue,winner,toss,runs_scored
1st Match (N),Ruturaj Gaikwad ,Yadav,"['4', '5', '0', '0', '0.00']",Chennai Super Kings,Kolkata Knight Riders, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first",0
1st Match (N),Devon Conway ,Yadav,"['8', '25', '0', '0', '37.50']",Chennai Super Kings,Kolkata Knight Riders, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first",3
1st Match (N),Robin Uthappa ,Varun,"['21', '37', '2', '2', '133.33']",Chennai Super Kings,Kolkata Knight Riders, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first",28
1st Match (N),Ambati Rayudu ,run out (SS Iyer/Narine),"['17', '22', '1', '1', '88.23']",Chennai Super Kings,Kolkata Knight Riders, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first",15
1st Match (N),Ravindra Jadeja (c),Russell,"['28', '63', '0', '1', '92.85']",Chennai Super Kings,Kolkata Knight Riders, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first",26
1st Match (N),Shivam Dube , - ,"['6', '11', '0', '0', '50.00']",Chennai Super Kings,Kolkata Knight Riders, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first",3
1st Match (N),MS Dhoni †, - ,"['38', '47', '7', '1', '131.57']",Chennai Super Kings,Kolkata Knight Riders, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first",50
1st Match (N),Ajinkya Rahane ,Santner,"['34', '56', '6', '1', '129.41']",Kolkata Knight Riders,Chennai Super Kings, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first",44
1st Match (N),Venkatesh Iyer ,Bravo,"['16', '31', '2', '0', '100.00']",Kolkata Knight Riders,Chennai Super Kings, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first",16
1st Match (N),Nitish Rana ,Bravo,"['17', '19', '2', '1', '123.52']",Kolkata Knight Riders,Chennai Super Kings, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first",21
1st Match (N),Shreyas Iyer (c),Bravo,"['19', '36', '1', '0', '105.26']",Kolkata Knight Riders,Chennai Super Kings, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first",20
1st Match (N),Sam Billings , - ,"['22', '25', '1', '1', '113.63']",Kolkata Knight Riders,Chennai Super Kings, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first",25
1st Match (N),Sheldon Jackson †, - ,"['3', '6', '0', '0', '100.00']",Kolkata Knight Riders,Chennai Super Kings, March 26 2022, Wankhede,KKR won by 6 wickets (with 9 balls remaining),"Kolkata Knight Riders, elected to field first",3
